"id;""pers"";""duty"";""date"";""place"";""type"";""acRegistration"""
"301;""TG28368"";""Pilot Flying"";""2020-04-02"";""BKK"";""Ferry Flight"";""HS-THD"""
"302;""TG30938"";""Pilot Not Flying"";""2020-04-02"";""BKK"";""Ferry Flight"";""HS-THD"""
"303;""TG42263"";""Test Engineer"";""2020-04-07"";""DMK"";""Ground Test"";""HS-TBC"""
"304;""TG30938"";""Test Pilot"";""2020-04-07"";""DMK"";""Ground Test"";""HS-TBC"""
"305;""TG39862"";""Test Engineer"";""2020-04-07"";""DMK"";""Ground Test"";""HS-TBC"""
"306;""TG42263"";""Test Engineer"";""2020-04-09"";""DMK"";""Flight Test"";""HS-TBC"""
"307;""TG30938"";""Pilot Not Flying"";""2020-04-09"";""DMK"";""Flight Test"";""HS-TBC"""
"308;""TG39862"";""Pilot Flying"";""2020-04-09"";""Dmk"";""Flight Test"";""HS-TBC"""
"309;""TG39833"";""Pilot Flying"";""2020-05-31"";""BKK"";""Ferry Flight"";""HS-THE"""
"310;""TG42652"";""Pilot Not Flying"";""2020-05-31"";""BKK"";""Ferry Flight"";""HS-THE"""
